frame_idx,timestamp_unix_s,timestamp_iso_utc,realsense_frame_number,realsense_timestamp_ms,filename
0,1773244915.716333,2026-03-11T16:01:55.716333+00:00,345,1773244915655.842,rgb/frame_000000.jpg
1,1773244915.757125,2026-03-11T16:01:55.757125+00:00,346,1773244915689.214,rgb/frame_000001.jpg
2,1773244915.782580,2026-03-11T16:01:55.782580+00:00,347,1773244915722.585,rgb/frame_000002.jpg
3,1773244915.822752,2026-03-11T16:01:55.822752+00:00,348,1773244915755.956,rgb/frame_000003.jpg
4,1773244915.850375,2026-03-11T16:01:55.850375+00:00,349,1773244915789.328,rgb/frame_000004.jpg
5,1773244915.889108,2026-03-11T16:01:55.889108+00:00,350,1773244915822.699,rgb/frame_000005.jpg
6,1773244915.916873,2026-03-11T16:01:55.916873+00:00,351,1773244915856.071,rgb/frame_000006.jpg
7,1773244915.949673,2026-03-11T16:01:55.949673+00:00,352,1773244915889.442,rgb/frame_000007.jpg
8,1773244915.989172,2026-03-11T16:01:55.989172+00:00,353,1773244915922.813,rgb/frame_000008.jpg
9,1773244916.016102,2026-03-11T16:01:56.016102+00:00,354,1773244915956.185,rgb/frame_000009.jpg
10,1773244916.055608,2026-03-11T16:01:56.055608+00:00,355,1773244915989.556,rgb/frame_000010.jpg
11,1773244916.083340,2026-03-11T16:01:56.083340+00:00,356,1773244916022.927,rgb/frame_000011.jpg
12,1773244916.117142,2026-03-11T16:01:56.117142+00:00,357,1773244916056.299,rgb/frame_000012.jpg
13,1773244916.155740,2026-03-11T16:01:56.155740+00:00,358,1773244916089.671,rgb/frame_000013.jpg
14,1773244916.183398,2026-03-11T16:01:56.183398+00:00,359,1773244916123.044,rgb/frame_000014.jpg
15,1773244916.223360,2026-03-11T16:01:56.223360+00:00,360,1773244916156.418,rgb/frame_000015.jpg
16,1773244916.249716,2026-03-11T16:01:56.249716+00:00,361,1773244916189.792,rgb/frame_000016.jpg
17,1773244916.289768,2026-03-11T16:01:56.289768+00:00,362,1773244916223.166,rgb/frame_000017.jpg
18,1773244916.316975,2026-03-11T16:01:56.316975+00:00,363,1773244916256.540,rgb/frame_000018.jpg
19,1773244916.350891,2026-03-11T16:01:56.350891+00:00,364,1773244916289.914,rgb/frame_000019.jpg
20,1773244916.390233,2026-03-11T16:01:56.390233+00:00,365,1773244916323.287,rgb/frame_000020.jpg
21,1773244916.416553,2026-03-11T16:01:56.416553+00:00,366,1773244916356.661,rgb/frame_000021.jpg
22,1773244916.455898,2026-03-11T16:01:56.455898+00:00,367,1773244916390.035,rgb/frame_000022.jpg
23,1773244916.484236,2026-03-11T16:01:56.484236+00:00,368,1773244916423.408,rgb/frame_000023.jpg
24,1773244916.517726,2026-03-11T16:01:56.517726+00:00,369,1773244916456.782,rgb/frame_000024.jpg
25,1773244916.557908,2026-03-11T16:01:56.557908+00:00,370,1773244916490.156,rgb/frame_000025.jpg
26,1773244916.583969,2026-03-11T16:01:56.583969+00:00,371,1773244916523.530,rgb/frame_000026.jpg
27,1773244916.623487,2026-03-11T16:01:56.623487+00:00,372,1773244916556.903,rgb/frame_000027.jpg
28,1773244916.651245,2026-03-11T16:01:56.651245+00:00,373,1773244916590.277,rgb/frame_000028.jpg
29,1773244916.689375,2026-03-11T16:01:56.689375+00:00,374,1773244916623.651,rgb/frame_000029.jpg
30,1773244916.717526,2026-03-11T16:01:56.717526+00:00,375,1773244916657.024,rgb/frame_000030.jpg
31,1773244916.751378,2026-03-11T16:01:56.751378+00:00,376,1773244916690.398,rgb/frame_000031.jpg
32,1773244916.790632,2026-03-11T16:01:56.790632+00:00,377,1773244916723.772,rgb/frame_000032.jpg
33,1773244916.817366,2026-03-11T16:01:56.817366+00:00,378,1773244916757.146,rgb/frame_000033.jpg
34,1773244916.856440,2026-03-11T16:01:56.856440+00:00,379,1773244916790.519,rgb/frame_000034.jpg
35,1773244916.884430,2026-03-11T16:01:56.884430+00:00,380,1773244916823.893,rgb/frame_000035.jpg
36,1773244916.916921,2026-03-11T16:01:56.916921+00:00,381,1773244916857.267,rgb/frame_000036.jpg
37,1773244916.956935,2026-03-11T16:01:56.956935+00:00,382,1773244916890.640,rgb/frame_000037.jpg
38,1773244916.984562,2026-03-11T16:01:56.984562+00:00,383,1773244916924.015,rgb/frame_000038.jpg
39,1773244917.023527,2026-03-11T16:01:57.023527+00:00,384,1773244916957.389,rgb/frame_000039.jpg
40,1773244917.051308,2026-03-11T16:01:57.051308+00:00,385,1773244916990.762,rgb/frame_000040.jpg
41,1773244917.090160,2026-03-11T16:01:57.090160+00:00,386,1773244917024.136,rgb/frame_000041.jpg
42,1773244917.118472,2026-03-11T16:01:57.118472+00:00,387,1773244917057.510,rgb/frame_000042.jpg
43,1773244917.150854,2026-03-11T16:01:57.150854+00:00,388,1773244917090.884,rgb/frame_000043.jpg
44,1773244917.191522,2026-03-11T16:01:57.191522+00:00,389,1773244917124.255,rgb/frame_000044.jpg
45,1773244917.218056,2026-03-11T16:01:57.218056+00:00,390,1773244917157.627,rgb/frame_000045.jpg
46,1773244917.256875,2026-03-11T16:01:57.256875+00:00,391,1773244917191.002,rgb/frame_000046.jpg
47,1773244917.284324,2026-03-11T16:01:57.284324+00:00,392,1773244917224.376,rgb/frame_000047.jpg
48,1773244917.318978,2026-03-11T16:01:57.318978+00:00,393,1773244917257.751,rgb/frame_000048.jpg
49,1773244917.360573,2026-03-11T16:01:57.360573+00:00,394,1773244917291.125,rgb/frame_000049.jpg
50,1773244917.385427,2026-03-11T16:01:57.385427+00:00,395,1773244917324.500,rgb/frame_000050.jpg
51,1773244917.424301,2026-03-11T16:01:57.424301+00:00,396,1773244917357.875,rgb/frame_000051.jpg
52,1773244917.451732,2026-03-11T16:01:57.451732+00:00,397,1773244917391.250,rgb/frame_000052.jpg
53,1773244917.490952,2026-03-11T16:01:57.490952+00:00,398,1773244917424.624,rgb/frame_000053.jpg
54,1773244917.517621,2026-03-11T16:01:57.517621+00:00,399,1773244917457.999,rgb/frame_000054.jpg
55,1773244917.551958,2026-03-11T16:01:57.551958+00:00,400,1773244917491.374,rgb/frame_000055.jpg
56,1773244917.591504,2026-03-11T16:01:57.591504+00:00,401,1773244917524.749,rgb/frame_000056.jpg
57,1773244917.618844,2026-03-11T16:01:57.618844+00:00,402,1773244917558.124,rgb/frame_000057.jpg
58,1773244917.657636,2026-03-11T16:01:57.657636+00:00,403,1773244917591.499,rgb/frame_000058.jpg
59,1773244917.684918,2026-03-11T16:01:57.684918+00:00,404,1773244917624.875,rgb/frame_000059.jpg
