frame_idx,timestamp_unix_s,timestamp_iso_utc,realsense_frame_number,realsense_timestamp_ms,filename
0,1773245584.952484,2026-03-11T16:13:04.952484+00:00,76,1773245584892.037,rgb/frame_000000.jpg
1,1773245584.984932,2026-03-11T16:13:04.984932+00:00,77,1773245584924.402,rgb/frame_000001.jpg
2,1773245585.023363,2026-03-11T16:13:05.023363+00:00,78,1773245584956.744,rgb/frame_000002.jpg
3,1773245585.049809,2026-03-11T16:13:05.049809+00:00,79,1773245584989.106,rgb/frame_000003.jpg
4,1773245585.089816,2026-03-11T16:13:05.089816+00:00,80,1773245585022.521,rgb/frame_000004.jpg
5,1773245585.116749,2026-03-11T16:13:05.116749+00:00,81,1773245585055.936,rgb/frame_000005.jpg
6,1773245585.150312,2026-03-11T16:13:05.150312+00:00,82,1773245585089.382,rgb/frame_000006.jpg
7,1773245585.190479,2026-03-11T16:13:05.190479+00:00,83,1773245585122.829,rgb/frame_000007.jpg
8,1773245585.216172,2026-03-11T16:13:05.216172+00:00,84,1773245585156.277,rgb/frame_000008.jpg
9,1773245585.255831,2026-03-11T16:13:05.255831+00:00,85,1773245585189.726,rgb/frame_000009.jpg
10,1773245585.282777,2026-03-11T16:13:05.282777+00:00,86,1773245585223.176,rgb/frame_000010.jpg
11,1773245585.323152,2026-03-11T16:13:05.323152+00:00,87,1773245585256.626,rgb/frame_000011.jpg
12,1773245585.350181,2026-03-11T16:13:05.350181+00:00,88,1773245585290.628,rgb/frame_000012.jpg
13,1773245585.386305,2026-03-11T16:13:05.386305+00:00,89,1773245585324.631,rgb/frame_000013.jpg
14,1773245585.424536,2026-03-11T16:13:05.424536+00:00,90,1773245585358.634,rgb/frame_000014.jpg
15,1773245585.453749,2026-03-11T16:13:05.453749+00:00,91,1773245585392.639,rgb/frame_000015.jpg
16,1773245585.493573,2026-03-11T16:13:05.493573+00:00,92,1773245585426.643,rgb/frame_000016.jpg
17,1773245585.520253,2026-03-11T16:13:05.520253+00:00,93,1773245585460.650,rgb/frame_000017.jpg
18,1773245585.555787,2026-03-11T16:13:05.555787+00:00,94,1773245585494.658,rgb/frame_000018.jpg
19,1773245585.597030,2026-03-11T16:13:05.597030+00:00,95,1773245585528.666,rgb/frame_000019.jpg
20,1773245585.623429,2026-03-11T16:13:05.623429+00:00,96,1773245585562.675,rgb/frame_000020.jpg
21,1773245585.663521,2026-03-11T16:13:05.663521+00:00,97,1773245585596.685,rgb/frame_000021.jpg
22,1773245585.690080,2026-03-11T16:13:05.690080+00:00,98,1773245585630.696,rgb/frame_000022.jpg
23,1773245585.730467,2026-03-11T16:13:05.730467+00:00,99,1773245585664.709,rgb/frame_000023.jpg
24,1773245585.759978,2026-03-11T16:13:05.759978+00:00,100,1773245585698.721,rgb/frame_000024.jpg
25,1773245585.792956,2026-03-11T16:13:05.792956+00:00,101,1773245585732.736,rgb/frame_000025.jpg
26,1773245585.831800,2026-03-11T16:13:05.831800+00:00,102,1773245585766.751,rgb/frame_000026.jpg
27,1773245585.860366,2026-03-11T16:13:05.860366+00:00,103,1773245585800.767,rgb/frame_000027.jpg
28,1773245585.899234,2026-03-11T16:13:05.899234+00:00,104,1773245585834.784,rgb/frame_000028.jpg
29,1773245585.928063,2026-03-11T16:13:05.928063+00:00,105,1773245585868.801,rgb/frame_000029.jpg
30,1773245585.962257,2026-03-11T16:13:05.962257+00:00,106,1773245585902.821,rgb/frame_000030.jpg
31,1773245586.002056,2026-03-11T16:13:06.002056+00:00,107,1773245585936.841,rgb/frame_000031.jpg
32,1773245586.030153,2026-03-11T16:13:06.030153+00:00,108,1773245585970.861,rgb/frame_000032.jpg
33,1773245586.069743,2026-03-11T16:13:06.069743+00:00,109,1773245586004.883,rgb/frame_000033.jpg
34,1773245586.097423,2026-03-11T16:13:06.097423+00:00,110,1773245586038.906,rgb/frame_000034.jpg
